id,target,comment_text,severe_toxicity,obscene,identity_attack,insult,threat,asian,atheist,bisexual,black,buddhist,christian,female,heterosexual,hindu,homosexual_gay_or_lesbian,intellectual_or_learning_disability,jewish,latino,male,muslim,other_disability,other_gender,other_race_or_ethnicity,other_religion,other_sexual_orientation,physical_disability,psychiatric_or_mental_illness,transgender,white,created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,sexual_explicit,identity_annotator_count,toxicity_annotator_count,target_binary
5618857,0.9,"Sure you will find your peace.  Blow yourself up, get 72 virgins; you won't care where you're buried. Just be sure to kill innocent women and children, like a good and true muslim, for extra special afterlife accommodation.",0.5,0.1,0.6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-19 10:58:50.162711+00,54,,356689,rejected,0,0,0,0,0,0.0,6,10,1
367848,0.0,"Thanks for the thoughtful feedback, ScienceDuck. 

We do worry about people always marking perfectly fine comments as ""uncivil"", and take false-negative civility votes as seriously as false-positives. We are as concerned about people unfairly silencing opposing views as we are about uncivil comments getting through.

The problem with letting bad voting slide, though, is that personal attacks and spam comments are still getting through too often. And by the time they're seen and flagged, the damage is, largely, already done. (People also abuse the flag button to attack people with whom they disagree; this just ends up negatively impacting the bad-flagger's own trust rating, but it's still a concern). 

I do sincerely appreciate the feedback, though; we're trying to find ways to improve behavior without being too extreme. When warnings aren't enough to correct the issue, though, we thought a 24-hour rate-limited restriction (not a ban) might help.",0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-28 20:26:42.281040+00,13,367724.0,140188,approved,0,0,0,0,0,0.0,0,4,0
5997855,0.9835013748854262,You are murdering feckless SCUM.  Your mother would slap you for being the piece of shit that you are.  I hope you die in enormous pain from cancer in your asshole that makes you cry from the pain every time you shit you fucking subhuman scum......Fuck you. I would gladly cut your fucking balls off in a minute....go suck cock you piece of shit! Fuck you and your mother you sorry fuckin swill!,0.6443629697525206,0.9706691109074244,0.076993583868011,0.9780018331805684,0.7396883593033915,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-09-22 03:45:13.834867+00,102,,379957,rejected,0,0,0,0,0,0.8579285059578368,10,1091,1
5625746,0.0,"No, State rights is what the constitution prescribes. Are you saying the State Governments cannot govern properly? Be honest! The south, before the passing of the civil rights laws were ruled by democrats, who fought against  the civil rights laws, along with their army, the KKK, and voted against the passage of said laws. Those laws would not have passed without the support of the Republican Party. Requiring an identification is to keep people from voting? Such rubbish.  If that's true, then Obama didn't want minorities to fly as an ID is needed to board a plane.  I guess Obama didn't want minorities to go into the Smithsonian or any federal building as an ID is required for entry. Why do liberals have to bring up sick and dying with every fight against Republicans, all with no proof.  Sick and dying has been in the Democrat playbook for so long that people don't listen to it anymore.  It's like the dems saying sick and dying about the health bill, without reading it. Lying repitition",0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-20 06:59:48.448841+00,22,5624223.0,356961,rejected,0,0,0,0,0,0.0,0,6,0
5614361,0.5,"Wrong. If a government official preaches about Christ s/he demonstrates a prejudice in favor of Christianity in violation of the Establishment Clause.

Of course government officials do this sort of thing all the time because American government is suffused with Christian religiosity.

You wrote:

<<I didn't say the country was Christian.>>

You invoked the same points routinely deployed by those who claim the United States is ""a Christian nation.""",0.5,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-18 17:20:47.167465+00,53,5614288.0,356402,approved,0,0,0,2,0,0.25,4,4,1
5801652,1.0,"Awesome! Lets cut the head off hate! Lets stab it and burn its house down! lets march together and beat hate with rocks and clubs and run out out of town! Hooray for us for showing hate we will not tolerate it and will kill or beat down any that oppose or stance against hate. 

Yeah, that sounds like the good guys. Why is it so hard for people to admit that using violence to achieve a goal is not acceptable in a civil society?",1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-19 17:33:30.941935+00,21,,368010,rejected,0,0,0,0,0,0.0,0,4,1
5044615,0.5,"Why is liberalism and hypocrisy so inextricably linked? 

It's not xenophobic or ""racist"" to fear fundamentalist Muslims. Their holy book teaches them not to love they neighbor but to convert that neighbor and impose the medieval system of oppression known as sharia law. 

Let's say that the terrorist are a small minority of fanatics.

Why do they always quote their holy book, the Quran, when they do the most heinous acts you could ever imagine? Raping, murdering, kidnapping, cutting peoples heads off, crucifying them in public squares, putting them into a cage, setting them on fire are all in the name of religion!",0.0,0.0,0.4,0.3,0.3,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,2017-03-23 17:38:01.509165+00,21,5039114.0,321336,approved,0,0,0,1,0,0.0,6,10,0
5885805,0.8,Hope they're both beaten to death in the can. Should have gotten the death penalty. Says everything about Kansas social services. It's a sick country.,0.5,0.0,0.5,0.5,0.8,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-02 17:05:57.008606+00,102,,373397,approved,0,0,0,1,1,0.0,0,10,1
5414670,0.0,"With all the problems in the country, the GOP are playing softball?",0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-14 18:27:02.765820+00,102,,344322,approved,0,1,1,3,10,0.0,0,4,0
5542382,0.9,i am just sorry that khadr didnt get a bullet in the head before he blew the head off that innocent father because his islamic boogie skywizard told him to.,0.5,0.1,0.8,0.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-07-06 23:10:14.016830+00,54,,352499,rejected,0,0,0,0,0,0.0,10,10,1
